method,k,silhouette,nmi_genre,ari_genre,purity_genre,nmi_quadrant,ari_quadrant,purity_quadrant,nmi,ari,purity
pca_kmeans,2,0.02818603544348722,0.008714972977570847,0.00046832742516107886,0.31204992798847814,,,,,,
pca_kmeans,2,0.02818603544348722,,,,0.002573665716469054,0.0018627275343382982,0.3053288526164186,,,
kmeans_multimodal,2,0.0430236817307095,,,,,,,0.08718060283446483,0.01986858552121587,0.31204992798847814
kmeans_spectral,2,0.38555794954299927,,,,,,,,,
spectral,2,0.38169458508491516,,,,,,,,,
kmeans_spectral,2,0.4089084267616272,,,,,,,0.013669398963251882,-0.0018951749532886422,0.31204992798847814
spectral,2,0.4078158140182495,,,,,,,0.014046121161617544,-0.00217649328451064,0.31204992798847814
